,CollegeID,Projects_20_21,Projects_19_20,Projects_18_19,Organization_20_21,Organization_19_20,Organization_18_19,Amount_20_21,Amount_19_20,Amount_18_19,FUNDS,AVG
0,IR-E-U-0013.pdf,173,115,133,95,71,74,75113417,52040519,51035964,178189900,59396633.33
1,IR-E-C-36926.pdf,613,471,494,227,80,253,42426060,54921532,39385929,136733521,45577840.33
2,IR-E-U-0395.pdf,19,15,6,17,13,5,23100596,11513304,2135681,36749581,12249860.33
3,IR-E-U-0099.pdf,0,0,0,0,0,0,0,0,0,0,0
4,IR-E-U-0146.pdf,64,93,58,44,49,48,6676389,5316075,4674773,16667237,5555745.667
5,IR-E-U-0056.pdf,30,1,1,23,24,9,2108355,920080,678514,3706949,1235649.667
6,IR-E-U-0092.pdf,112,119,105,295,102,85,21309263,25502689,16358885,63170837,21056945.67
