,CollegeID,PG_Intake_2017_18,PG_Intake_2018_19,PG_Intake_2019_20,PG_Admitted_2017_18,PG_Admitted_2018_19,PG_Admitted_2019_20,PG_Graduate_2018_19,PG_Graduate_2019_20,PG_Graduate_2020_21,PG_Placed_2018_19,PG_Placed_2019_20,PG_Placed_2020_21,PG_Salary_2018_19,PG_Salary_2019_20,PG_Salary_2020_21,PG_HighStudies_2018_19,PG_HighStudies_2019_20,PG_HighStudies_2020_21
0,IR-E-U-0013.pdf,161,181,186,161,181,186,123,148,151,76,93,74,1075000,1570000,1945000,33,16,7
1,IR-E-C-36926.pdf,228,234,234,80,133,90,80,122,85,36,32,53,300000,300000,240000,7,5,7
2,IR-E-U-0395.pdf,36,44,154,36,44,154,30,35,126,18,17,70,625000,1150000,1000000,12,13,44
3,IR-E-U-0099.pdf,79,79,79,71,44,56,65,44,56,17,14,12,350000,370000,488000,1,4,13
4,IR-E-U-0146.pdf,216,216,162,209,212,162,200,205,160,180,146,123,420000,500000,617000,5,4,4
5,IR-E-U-0056.pdf,135,144,145,131,125,141,103,120,120,42,15,17,372000,401000,445000,26,18,30
6,IR-E-U-0092.pdf,168,168,185,124,121,130,115,99,114,22,14,24,547500,615000,600000,2,23,20
