,CollegeID,Total_Phd_FT,Total_Phd_PT,Graduate_FT_20_21,Graduate_FT_19_20,Graduate_FT_18_19,Graduate_PT_20_21,Graduate_PT_19_20,Graduate_PT_18_19,NP,AVG
0,IR-E-U-0013.pdf,541,141,59,46,36,9,6,2,158,52.66666667
1,IR-E-C-36926.pdf,26,89,0,0,1,8,17,11,37,12.33333333
2,IR-E-U-0395.pdf,486,23,25,29,26,2,2,2,86,28.66666667
3,IR-E-U-0099.pdf,194,183,26,4,1,24,6,3,64,21.33333333
4,IR-E-U-0146.pdf,30,99,0,1,0,9,10,20,40,13.33333333
5,IR-E-U-0056.pdf,194,40,11,7,9,5,13,9,54,18
6,IR-E-U-0092.pdf,369,209,46,28,27,29,14,19,163,54.33333333
