,CollegeID,Salaries_20_21,Salaries_19_20,Salaries_18_19,Maintenance_20_21,Maintenance_19_20,aintenance_18_19,Seminars_20_21,Seminars_19_20,Seminars_18_19,TOTAL,AVG
0,IR-E-U-0013.pdf,792195187,730127788,612829136,75086090,81554262,713306354,3929974,22768931,26141126,3057938848,1019312949
1,IR-E-C-36926.pdf,354914268,373086507,378706509,174851481,269788364,281366186,3959834,5969353,2671250,1845313752,615104584
2,IR-E-U-0395.pdf,435994123,338705439,220704107,884215876,663802499,272518812,490329,5421950,4389657,2826242792,942080930.7
3,IR-E-U-0099.pdf,225608402,92514843,110448640,10416039,3901183,6928263,937841,515569,515569,451786349,150595449.7
4,IR-E-U-0146.pdf,464963991,558640671,519680312,289067942,154358971,128606337,898044,1765272,1593515,2119575055,706525018.3
5,IR-E-U-0056.pdf,182174508,152233486,190837160,90450777,112400455,115366494,825179,1758410,1399429,847445898,282481966
6,IR-E-U-0092.pdf,509702950,484061400,428017858,359265739,342790784,357699425,1789349,6581394,5445562,2495354461,831784820.3
