,CollegeID,Lifts,WalkingAids,Toilets
0,IR-E-U-0013.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
1,IR-E-C-36926.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
2,IR-E-U-0395.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
3,IR-E-U-0099.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 60% of the buildings"
4,IR-E-U-0146.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
5,IR-E-U-0056.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
6,IR-E-U-0092.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
