,CollegeID,Number of faculty members entered
0,IR-E-N-10.pdf,248
1,IR-E-U-0186.pdf,110
2,IR-E-U-0584.pdf,255
3,IR-E-U-0267.pdf,42
4,IR-E-U-0476.pdf,568
5,IR-E-U-0189.pdf,170
6,IR-E-U-0367.pdf,281
7,IR-E-U-0155.pdf,152
8,IR-E-U-0522.pdf,293
9,IR-E-U-0308.pdf,173
10,IR-E-U-0455.pdf,73
11,IR-E-U-0560.pdf,526
12,IR-E-U-0497.pdf,587
13,IR-E-U-0490.pdf,2565
14,IR-E-U-0379.pdf,1247
