,CollegeID,Lifts,WalkingAids,Toilets
0,IR-E-N-10.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
1,IR-E-U-0186.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
2,IR-E-U-0584.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
3,IR-E-U-0267.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
4,IR-E-U-0476.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
5,IR-E-U-0189.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
6,IR-E-U-0367.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
7,IR-E-U-0155.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
8,IR-E-U-0522.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
9,IR-E-U-0308.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
10,IR-E-U-0455.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
11,IR-E-U-0560.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
12,IR-E-U-0497.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
13,IR-E-U-0490.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
14,IR-E-U-0379.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
