,CollegeID,Sponsored_Projects_2020_21,Sponsored_Projects_2019_20,Sponsored_Projects_2018_19,FundingAgencies_2020_21,FundingAgencies_2019_20,FundingAgencies_2018_19,Total_Amount_2020_21,Total_Amount_2019_20,Total_Amount_2018_19
125,IR-E-U-0389.pdf,8,4,4,2,4,4,24284360,54191178,41846000
126,IR-E-U-0374.pdf,51,46,22,12,11,23,32627007,27593945,15914952
127,IR-E-C-37028.pdf,6,7,8,5,6,6,7479986,9126448,18027265
128,IR-E-C-42054.pdf,3,8,3,1,3,2,2041529,4929192,1028000
129,IR-E-U-0496.pdf,23,34,19,9,19,12,204973105,20802384,35020490
130,IR-E-U-0507.pdf,59,12,21,13,6,6,58186996,20796186,60230225
131,IR-E-C-1352.pdf,16,33,11,8,12,7,10242011,10372150,9841849
132,IR-E-C-27616.pdf,37,41,32,28,25,21,154002000,171576500,134319000
133,IR-E-U-0622.pdf,17,19,10,9,7,6,8462397,10328640,13729486
134,IR-E-U-0733.pdf,5,4,15,5,4,11,7429538,8671000,14939607
135,IR-E-C-19754.pdf,11,23,26,4,10,9,1448748,4350000,14651641
136,IR-E-U-0286.pdf,46,40,41,15,13,13,10708119,34381947,17039381
137,IR-E-U-0217.pdf,7,5,4,7,5,3,3430912,6963930,3420910
138,IR-E-C-16547.pdf,207,120,91,117,97,63,21076500,15854646,14770984
139,IR-E-C-16576.pdf,9,7,7,7,6,5,13996526,12406000,1645999
140,IR-E-U-0284.pdf,29,52,38,24,33,18,24750355,14595299,21470631
141,IR-E-U-0080.pdf,39,44,38,20,18,19,38355000,52668000,19418000
142,IR-E-U-0098.pdf,31,104,396,15,15,15,89404350,81000000,74700000
143,IR-E-C-30153.pdf,0,1,1,0,1,1,0,180000,1830000
144,IR-E-U-0458.pdf,223,184,152,119,127,102,148056302,119578234,82468935
145,IR-E-C-10342.pdf,7,10,0,7,10,0,200000,783333,0
146,IR-E-C-1297.pdf,27,21,31,13,13,22,12605355,16952336,28035403
147,IR-E-C-16560.pdf,13,18,34,8,8,9,8486000,10662158,18320820
