,CollegeID,Library_20_21,Library_19_20,Library_18_19,Lab_20_21,Lab_19_20,Lab_18_19,Workshops_20_21,Workshops_19_20,Workshops_18_19,Others_20_21,Others_19_20,Others_18_19
116,IR-E-U-0445.pdf,8279000,8031215,10220193,9445000,28110866,82831482,1049000,2256276,5243770,6609000,17008317,31194653
117,IR-E-U-0436.pdf,59010471,61639771,76424071,121516828,21771623,107531850,17607540,92416993,117324517,177162487,136600023,53771510
118,IR-E-U-0575.pdf,85320602,32108292,55293288,160323653,95860637,80410930,240592,189829,316454,13181879,80647660,45212061
119,IR-E-U-0263.pdf,29662837,27073649,52083584,101447717,196235465,148547643,8581560,9837070,9482000,24627961,47116157,46772983
120,IR-E-C-43264.pdf,23184437,22358913,6076123,18067611,1618440,6964077,1035350,696864,1548647,14989727,11614848,3242030
121,IR-E-U-0604.pdf,235067,1102556,562844,94754,3935210,898543,0,1051184,835430,4206049,11094982,10812855
122,IR-E-C-33641.pdf,8365229,8934273,5265377,47669438,87410963,60497389,4463432,4494272,7723340,27565671,40374131,62191099
123,IR-E-C-19534.pdf,5423380,4210356,4284300,16570594,17378512,20296132,4446059,9031472,7303085,76890459,42285876,53789657
124,IR-E-C-25622.pdf,4603639,3827029,1267660,4484345,4153847,54282949,1605980,1930040,7684114,16902299,18858369,15727866
125,IR-E-U-0389.pdf,9354512,6212893,11204208,79396345,80935690,56834815,19653390,4504586,10227693,15106803,3103804,15198717
126,IR-E-U-0374.pdf,18201402,24002842,23455790,86602916,52893378,27510070,137700,32000,0,16271329,18277246,40438282
127,IR-E-C-37028.pdf,3792172,4777199,4273452,14921723,16584309,16988117,2277902,2769250,2595638,42769957,35508301,7596647
128,IR-E-C-42054.pdf,3819295,3652909,3510745,14464599,18346812,18059814,4123352,4434195,4019649,20281601,30257939,29904860
129,IR-E-U-0496.pdf,9218238,6476881,2864269,8444022,16196188,39121118,1001829,1150304,1434985,7259665,5693629,4334292
130,IR-E-U-0507.pdf,2034746,2014857,8800000,30352336,42370700,48400000,4417802,1890200,1532000,6819126,6039155,13300000
131,IR-E-C-1352.pdf,5764360,5362152,4743196,19050629,18036127,26932200,24170786,17530870,7048457,21939927,18843230,16417612
132,IR-E-C-27616.pdf,5732000,6955122,5555802,30244000,37908729,30109875,1066142,2228400,1203000,5084668,12970048,8560090
133,IR-E-U-0622.pdf,9386670,4908852,6408004,68490,183465,2532200,0,0,0,220591,2430569,3875464
134,IR-E-U-0733.pdf,11293938,10699992,7244556,31688110,29752930,23083222,12621009,13276334,15911000,202406604,209562492,195360990
135,IR-E-C-19754.pdf,2938647,2775432,2506437,44164523,37475602,30761087,19362358,17683075,14951044,15461867,12974619,7629689
136,IR-E-U-0286.pdf,21683323,19293917,7606203,10852342,13221620,44585855,429852,958353,194831,14611891,22453859,69643256
137,IR-E-U-0217.pdf,5727423,4632653,3574698,5234406,2911053,6019942,5780462,1335119,7262922,11337386,0,0
138,IR-E-C-16547.pdf,4536700,3975400,3579445,44504800,13504800,12800902,13540000,8435215,5751683,71125600,28475177,22155996
139,IR-E-C-16576.pdf,7667567,5273505,2531176,7507123,10260479,14836758,2426540,4330610,364512,13624215,29106040,16177909
140,IR-E-U-0284.pdf,28834200,27821890,18480786,33255610,74622665,74129045,7055000,5886751,7919656,37140010,9607779,4799018
141,IR-E-U-0080.pdf,25946000,29336000,19130400,59637874,160966331,169625200,598000,611000,237000,32704000,80070234,78541000
142,IR-E-U-0098.pdf,65233769,21272099,46088228,89562408,160855177,125840375,95140259,67704798,20090529,8851921,33221392,144342874
143,IR-E-C-30153.pdf,2416788,2645353,2553864,7520016,4044269,11043499,0,0,0,30323655,14295656,13360986
144,IR-E-U-0458.pdf,14072950,6142856,4582701,75062127,53079428,51735394,19975303,19753207,19025941,115527319,66602815,120916924
145,IR-E-C-10342.pdf,4184145,4130154,2394089,5508211,3713406,5202525,271291,132363,111230,119055596,71379928,45934719
146,IR-E-C-1297.pdf,3862466,2450712,2541675,6211905,16640238,15825819,300426,662543,553902,6853754,2190505,7871324
147,IR-E-C-16560.pdf,2818590,2780957,2677596,11157434,9193939,11641812,11266751,10921722,10041057,11505147,10788036,9812258
