,CollegeID,Total_Phd_FT,Total_Phd_PT,Graduate_FT_20_21,Graduate_FT_19_20,Graduate_FT_18_19,Graduate_PT_20_21,Graduate_PT_19_20,Graduate_PT_18_19
109,IR-E-U-0473.pdf,1002,435,31,77,47,64,116,60
110,IR-E-C-26929.pdf,15,64,0,0,0,2,2,3
111,IR-E-U-0391.pdf,439,172,44,40,24,14,16,9
112,IR-E-C-1262.pdf,69,161,4,6,4,13,15,20
113,IR-E-U-0053.pdf,1648,154,161,239,214,18,49,27
114,IR-E-U-0356.pdf,950,0,73,79,62,0,0,0
115,IR-E-C-1331.pdf,53,278,9,12,7,30,34,28
116,IR-E-U-0445.pdf,68,141,8,3,2,27,9,7
117,IR-E-U-0436.pdf,239,498,13,10,20,25,18,19
118,IR-E-U-0575.pdf,903,0,102,113,133,0,0,0
119,IR-E-U-0263.pdf,701,21,96,75,95,0,14,6
120,IR-E-C-43264.pdf,13,20,0,7,8,0,0,0
121,IR-E-U-0604.pdf,31,84,0,2,0,1,6,2
122,IR-E-C-33641.pdf,69,115,11,9,14,13,7,19
123,IR-E-C-19534.pdf,0,0,0,0,0,0,0,0
124,IR-E-C-25622.pdf,0,0,0,0,0,0,0,0
125,IR-E-U-0389.pdf,259,0,59,65,62,0,0,0
126,IR-E-U-0374.pdf,298,141,48,31,17,13,15,16
127,IR-E-C-37028.pdf,34,173,13,2,4,36,24,24
128,IR-E-C-42054.pdf,0,0,0,0,0,0,0,0
129,IR-E-U-0496.pdf,309,29,36,35,33,0,2,0
130,IR-E-U-0507.pdf,150,31,19,4,10,4,4,3
131,IR-E-C-1352.pdf,15,50,3,3,5,6,5,9
132,IR-E-C-27616.pdf,76,236,1,5,3,14,23,16
133,IR-E-U-0622.pdf,49,12,6,9,5,1,0,0
134,IR-E-U-0733.pdf,40,22,1,1,1,4,1,0
135,IR-E-C-19754.pdf,31,34,0,0,0,7,8,8
136,IR-E-U-0286.pdf,201,3,28,19,25,0,0,0
137,IR-E-U-0217.pdf,51,73,5,2,1,0,0,0
138,IR-E-C-16547.pdf,21,152,16,15,9,44,31,22
139,IR-E-C-16576.pdf,0,48,0,0,0,24,16,5
140,IR-E-U-0284.pdf,300,79,20,24,13,58,27,19
141,IR-E-U-0080.pdf,140,50,15,14,13,12,7,24
142,IR-E-U-0098.pdf,705,601,33,30,28,20,43,27
143,IR-E-C-30153.pdf,0,0,0,0,0,0,0,0
144,IR-E-U-0458.pdf,349,150,64,47,7,13,22,12
145,IR-E-C-10342.pdf,0,123,0,0,0,12,8,6
146,IR-E-C-1297.pdf,29,98,5,1,4,10,11,12
147,IR-E-C-16560.pdf,9,120,0,0,0,18,11,9
