,CollegeID,Salaries_20_21,Salaries_19_20,Salaries_18_19,Maintenance_20_21,Maintenance_19_20,aintenance_18_19,Seminars_20_21,Seminars_19_20,Seminars_18_19
0,IR-E-C-1412.pdf,483256116,417241460,415469586,150789778,166215965,155958502,8868087,14732720,8461538
1,IR-E-U-0064.pdf,414367796,390080646,354693164,371028370,384470348,410017542,3826616,12207631,11321164
2,IR-E-C-16604.pdf,650544118,779518734,619293012,351211013,313034590,297255604,5299608,17799514,16595665
3,IR-E-U-0149.pdf,726042936,560092055,558142149,555893710,693361889,575964199,9698584,12747979,11055393
4,IR-E-U-0197.pdf,602950012,541818337,502831417,288115632,276685935,310548802,1552578,1892104,1680714
5,IR-E-I-1356.pdf,44608000,46275900,44072300,32099152,62584150,59065080,7419000,14785600,9562490
6,IR-E-I-1480.pdf,1383596014,1545586849,1232133000,1048668109,880926167,569107076,18197000,17814341,75749000
7,IR-E-U-0613.pdf,150481766,176356414,112233063,42148588,33592904,1755981,1512904,25849582,18895227
8,IR-E-U-0055.pdf,677312911,635525433,605501058,365492327,326611202,88827196,17840827,27244695,18496487
9,IR-E-U-0489.pdf,415303038,495005862,458229607,137045868,281326977,222746598,3030708,3120567,5934462
10,IR-E-U-0615.pdf,198025630,196703617,151833153,19037149,50531189,68119040,12323850,7716697,3848424
11,IR-E-C-1400.pdf,315232930,328735168,303163558,188385704,252036114,231600594,491399,3352491,2327891
12,IR-E-U-0130.pdf,181090942,166304150,158352125,108765002,154539743,139235575,0,134998,265449
13,IR-E-U-0620.pdf,119987409,113923951,105743126,81361074,92100340,85883352,511872,539405,1050571
14,IR-E-U-0011.pdf,925167201,779187251,757262947,363782988,726177233,686598760,623654,1669663,1243454
15,IR-E-I-1093.pdf,347714295,333748072,325074425,102388129,201350262,196727828,15790077,15494002,14391412
16,IR-E-C-33777.pdf,326385354,298853032,259263140,121874060,103300946,54543115,5451390,6832865,4301851
17,IR-E-U-0685.pdf,252517718,143081455,139491144,100693903,105453424,102161308,4162291,1380172,4886169
18,IR-E-U-0207.pdf,595768046,592407533,578428653,244984662,247492342,204948887,2855465,3764491,3090273
19,IR-E-U-0530.pdf,876378017,880816696,878612109,641835408,639224025,661780987,3641581,31586411,17881262
20,IR-E-U-0108.pdf,427508505,387588405,325634532,42760072,55482431,43715775,673393,2948388,2050000
21,IR-E-C-1345.pdf,283240443,283240443,262073303,93970950,91605573,92429265,0,4425550,2245444
22,IR-E-U-0454.pdf,238643000,339855091,324187138,59190967,18697516,22775488,14892696,8415543,11966227
23,IR-E-U-0747.pdf,1552262256,1492521250,1428721879,869928498,800117435,749934792,74133169,58889500,56758086
24,IR-E-U-0373.pdf,516711602,549187848,344916927,608076942,453207453,272654572,2171738,15263852,2351703
25,IR-E-S-8898.pdf,150159788,135800000,124006417,22019211,143709403,169182452,50111272,3600000,3394617
26,IR-E-U-0163.pdf,234502893,256959978,238883721,155612500,172052284,168370175,4137520,5740320,6452967
